participant_code;session_code;gropu_id;group_id;chat_id;player_color;To;body;timestamp;nickname;channel;inactive;left_player_id;left_player_color;right_player_id;right_player_color;part1_signal_left;part1_signal_right;part1_finaldecision;Part3_finaldecision
4uvdbn2v;yd5nzig1;3;134;3;Green;Red;what do you want to do;1.779.439.222.109.730;RightPartner;36-bargaining_tdl_main-134_1_2;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;4;Green;Blue;hello, i would like to split in two;17.794.392.505.249.800;LeftPartner;36-bargaining_tdl_main-134_2_3;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
qi1pt07x;ocnkhj5c;2;42;3;Green;Red;Daje, dividiamo con i rossi;17.791.938.284.196.000;RightPartner;10-bargaining_tdl_main-42_1_2;0;kbzsf2k1;Red;2h0fz66r;Blue;split_you;split_other;Left;share_both
qi1pt07x;ocnkhj5c;2;42;4;Green;Blue;BLU BU BU BU;17.791.938.388.962.900;LeftPartner;10-bargaining_tdl_main-42_2_3;0;kbzsf2k1;Red;2h0fz66r;Blue;split_you;split_other;Left;share_both
qi1pt07x;ocnkhj5c;2;42;8;Green;Blue;Daje;1.779.193.890.588.140;LeftPartner;10-bargaining_tdl_main-42_2_3;0;kbzsf2k1;Red;2h0fz66r;Blue;split_you;split_other;Left;share_both
qi1pt07x;ocnkhj5c;2;42;11;Green;Red;Ok dividiamo;17.791.939.267.034.700;RightPartner;10-bargaining_tdl_main-42_1_2;0;kbzsf2k1;Red;2h0fz66r;Blue;split_you;split_other;Left;share_both
4uvdbn2v;yd5nzig1;3;134;6;Green;Blue;6 to me and 6 to you;17.794.392.582.626.400;LeftPartner;36-bargaining_tdl_main-134_2_3;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;9;Green;Red;sure;177.943.929.780.566;RightPartner;36-bargaining_tdl_main-134_1_2;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;11;Green;Blue;of course;1.779.439.336.049.820;LeftPartner;36-bargaining_tdl_main-134_2_3;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;13;Green;Blue;do you prefear to split in 3 parts?;1.779.439.352.670.100;LeftPartner;36-bargaining_tdl_main-134_2_3;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;14;Green;Blue;oh what do you do;17.794.393.894.296.800;LeftPartner;36-bargaining_tdl_main-134_2_3;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;15;Green;Blue;are you lefting the chat;17.794.393.948.898.000;LeftPartner;36-bargaining_tdl_main-134_2_3;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;16;Green;Red;i think that blue wants to exclude you;17.794.394.182.327.500;RightPartner;36-bargaining_tdl_main-134_1_2;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;20;Green;Red;let's go punish him;17.794.394.649.298.300;RightPartner;36-bargaining_tdl_main-134_1_2;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;21;Green;Red;6 to me and 6 to you;17.794.394.764.402.800;RightPartner;36-bargaining_tdl_main-134_1_2;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;22;Green;Red;i m lefting the chat and i will propose this;17.794.394.957.102.400;RightPartner;36-bargaining_tdl_main-134_1_2;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;24;Green;Red;don't cheat...;17.794.395.067.877.500;RightPartner;36-bargaining_tdl_main-134_1_2;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
4uvdbn2v;yd5nzig1;3;134;25;Green;Red;i swear;17.794.395.102.349.500;RightPartner;36-bargaining_tdl_main-134_1_2;0;b6mb3dyb;Red;cpn08rvz;Blue;split_you;split_other;Left;share_one
9r3ttt9c;yd5nzig1;2;133;1;Red;Blue;Hello;17.794.390.773.516.700;RightPartner;36-bargaining_tdl_main-133_1_3;0;dbc3qlg7;Blue;n3fe0c5q;#N/D;split_you;split_other;Left;share_one
9r3ttt9c;yd5nzig1;2;133;2;Red;Blue;Are you here ?;1.779.439.081.617.280;RightPartner;36-bargaining_tdl_main-133_1_3;0;dbc3qlg7;Blue;n3fe0c5q;#N/D;split_you;split_other;Left;share_one
9r3ttt9c;yd5nzig1;2;133;5;Red;Blue;What do you want to do ?;17.794.391.088.477.700;RightPartner;36-bargaining_tdl_main-133_1_3;0;dbc3qlg7;Blue;n3fe0c5q;#N/D;split_you;split_other;Left;share_one
9r3ttt9c;yd5nzig1;2;133;6;Red;Blue;Green participant already left;17.794.391.135.445.600;RightPartner;36-bargaining_tdl_main-133_1_3;0;dbc3qlg7;Blue;n3fe0c5q;#N/D;split_you;split_other;Left;share_one
9r3ttt9c;yd5nzig1;2;133;9;Red;Blue;between 2 of us ? ;1.779.439.159.590.870;RightPartner;36-bargaining_tdl_main-133_1_3;0;dbc3qlg7;Blue;n3fe0c5q;#N/D;split_you;split_other;Left;share_one
9r3ttt9c;yd5nzig1;2;133;11;Red;Blue;let's go;17.794.391.674.151.500;RightPartner;36-bargaining_tdl_main-133_1_3;0;dbc3qlg7;Blue;n3fe0c5q;#N/D;split_you;split_other;Left;share_one
b6mb3dyb;yd5nzig1;3;134;5;Red;Green;hi maybe we should split just between us?;17.794.392.544.713.000;LeftPartner;36-bargaining_tdl_main-134_1_2;0;cpn08rvz;Blue;4uvdbn2v;Green;split_other;split_you;Right;share_both
b6mb3dyb;yd5nzig1;3;134;7;Red;Blue;hi, do you want to split?;17.794.392.620.395.800;RightPartner;36-bargaining_tdl_main-134_1_3;0;cpn08rvz;Blue;4uvdbn2v;Green;split_other;split_you;Right;share_both
b6mb3dyb;yd5nzig1;3;134;12;Red;Blue;or what do you want to do?;17.794.393.401.064.300;RightPartner;36-bargaining_tdl_main-134_1_3;0;cpn08rvz;Blue;4uvdbn2v;Green;split_other;split_you;Right;share_both
b6mb3dyb;yd5nzig1;3;134;17;Red;Green;i know hahaha;17.794.394.285.683.600;LeftPartner;36-bargaining_tdl_main-134_1_2;0;cpn08rvz;Blue;4uvdbn2v;Green;split_other;split_you;Right;share_both
b6mb3dyb;yd5nzig1;3;134;18;Red;Green;lets punish him maybe;17.794.394.460.403.400;LeftPartner;36-bargaining_tdl_main-134_1_2;0;cpn08rvz;Blue;4uvdbn2v;Green;split_other;split_you;Right;share_both
b6mb3dyb;yd5nzig1;3;134;19;Red;Green;what are you gonna do?;17.794.394.522.801.900;LeftPartner;36-bargaining_tdl_main-134_1_2;0;cpn08rvz;Blue;4uvdbn2v;Green;split_other;split_you;Right;share_both
b6mb3dyb;yd5nzig1;3;134;23;Red;Green;idk if i can trust you but ok;17.794.395.005.847.400;LeftPartner;36-bargaining_tdl_main-134_1_2;0;cpn08rvz;Blue;4uvdbn2v;Green;split_other;split_you;Right;share_both
bnuc6jnp;yd5nzig1;4;135;3;Green;Red;hi;17.794.392.781.542.100;RightPartner;36-bargaining_tdl_main-135_1_2;0;viaxlpcy;Red;sthih2j8;#N/D;split_both;split_both;Both;share_both
bnuc6jnp;yd5nzig1;4;135;5;Green;Red;let's split also with the other participant;177.943.935.001.765;RightPartner;36-bargaining_tdl_main-135_1_2;0;viaxlpcy;Red;sthih2j8;#N/D;split_both;split_both;Both;share_both
cpn08rvz;yd5nzig1;3;134;2;Blue;Green;Hi, how do you want to propose to do?;1.779.439.219.831.540;RightPartner;36-bargaining_tdl_main-134_2_3;0;4uvdbn2v;Green;b6mb3dyb;Red;split_you;split_you;Left;0
cpn08rvz;yd5nzig1;3;134;8;Blue;Red;Do you want to split between me and you?;17.794.392.883.676.300;LeftPartner;36-bargaining_tdl_main-134_1_3;0;4uvdbn2v;Green;b6mb3dyb;Red;split_you;split_you;Left;0
cpn08rvz;yd5nzig1;3;134;10;Blue;Green;Do you want to exclude participant Red?;17.794.393.157.239.000;RightPartner;36-bargaining_tdl_main-134_2_3;0;4uvdbn2v;Green;b6mb3dyb;Red;split_you;split_you;Left;0
cpn08rvz;yd5nzig1;3;134;26;Blue;Red;Ok If want to split with me ok;17.794.395.552.514.000;LeftPartner;36-bargaining_tdl_main-134_1_3;0;4uvdbn2v;Green;b6mb3dyb;Red;split_you;split_you;Left;0
cpn08rvz;yd5nzig1;3;134;27;Blue;Red;I will split with you;17.794.395.552.554.200;LeftPartner;36-bargaining_tdl_main-134_1_3;0;4uvdbn2v;Green;b6mb3dyb;Red;split_you;split_you;Left;0
cpn08rvz;yd5nzig1;3;134;28;Blue;Red;If you want to split with me ok, But what did write to partipant Green?;17.794.395.552.587.700;LeftPartner;36-bargaining_tdl_main-134_1_3;0;4uvdbn2v;Green;b6mb3dyb;Red;split_you;split_you;Left;0
dbc3qlg7;yd5nzig1;2;133;3;Blue;Red;hello;17.794.390.836.687.400;LeftPartner;36-bargaining_tdl_main-133_1_3;0;n3fe0c5q;#N/D;9r3ttt9c;Red;split_other;split_other;Right;share_one
dbc3qlg7;yd5nzig1;2;133;4;Blue;Red;tell me;17.794.390.985.936.800;LeftPartner;36-bargaining_tdl_main-133_1_3;0;n3fe0c5q;#N/D;9r3ttt9c;Red;split_other;split_other;Right;share_one
dbc3qlg7;yd5nzig1;2;133;7;Blue;Red;let split ;17.794.391.429.887.200;LeftPartner;36-bargaining_tdl_main-133_1_3;0;n3fe0c5q;#N/D;9r3ttt9c;Red;split_other;split_other;Right;share_one
dbc3qlg7;yd5nzig1;2;133;8;Blue;Red;let s;1.779.439.153.566.820;LeftPartner;36-bargaining_tdl_main-133_1_3;0;n3fe0c5q;#N/D;9r3ttt9c;Red;split_other;split_other;Right;share_one
dbc3qlg7;yd5nzig1;2;133;10;Blue;Red;yes;17.794.391.627.788.100;LeftPartner;36-bargaining_tdl_main-133_1_3;0;n3fe0c5q;#N/D;9r3ttt9c;Red;split_other;split_other;Right;share_one
dbc3qlg7;yd5nzig1;2;133;12;Blue;Red;ok;17.794.391.713.354.600;LeftPartner;36-bargaining_tdl_main-133_1_3;0;n3fe0c5q;#N/D;9r3ttt9c;Red;split_other;split_other;Right;share_one
i4i3tmug;yd5nzig1;5;136;1;Red;Green;I will send to you 6$;17.794.395.633.713.500;LeftPartner;36-bargaining_tdl_main-136_1_2;0;simlh0ez;#N/D;9lowtshx;#N/D;split_other;split_you;Right;share_both
viaxlpcy;yd5nzig1;4;135;1;Red;Blue;hi;17.794.392.693.559.400;RightPartner;36-bargaining_tdl_main-135_1_3;0;sthih2j8;#N/D;bnuc6jnp;Green;split_both;split_both;Left;share_one
viaxlpcy;yd5nzig1;4;135;2;Red;Green;hi;17.794.392.709.341.300;LeftPartner;36-bargaining_tdl_main-135_1_2;0;sthih2j8;#N/D;bnuc6jnp;Green;split_both;split_both;Left;share_one
viaxlpcy;yd5nzig1;4;135;4;Red;Green;lets just split 12$ between two of us;17.794.393.081.409.200;LeftPartner;36-bargaining_tdl_main-135_1_2;0;sthih2j8;#N/D;bnuc6jnp;Green;split_both;split_both;Left;share_one
viaxlpcy;yd5nzig1;4;135;6;Red;Green;okay ;17.794.393.825.981.200;LeftPartner;36-bargaining_tdl_main-135_1_2;0;sthih2j8;#N/D;bnuc6jnp;Green;split_both;split_both;Left;share_one
