Day,Time Slot (Italian Time),Time Slot (US Eastern Time),Study to Launch,No. of Participants,Groups,Otree session,completion code,DropoutCQs code,DropoutTimeout code,Description
"DAY 1
(Monday)",15:30–17:30,09:30–11:30,Study BaselineD1,174,58,bargaining_tdl_baseline_d1,C19QG34V - https://app.prolific.com/submissions/complete?cc=C19QG34V,CYZ535HK - https://app.prolific.com/submissions/complete?cc=CYZ535HK,C1NX1SC7 - https://app.prolific.com/submissions/complete?cc=C1NX1SC7,"Earn up to $9.00 | Group Decision-Making Task

Welcome! In this study, you will participate in an group decision-making task with other two participants.

Key Information:





Duration: 15 minutes.



Anonymity: Strict data confidentiality. All collected data remains entirely anonymous.

Payment:





You will earn at least $2.10 and can earn as much as $9.00, depending on your choices and the decisions made by your group members.

Thank you for your time and contribution to academic research!"
,17:45–19:00,11:45–13:00,Study PublicD1,174,58,bargaining_tdl_public_d1,C1NLKVJO - https://app.prolific.com/submissions/complete?cc=C1NLKVJO,C1GZP9YZ - https://app.prolific.com/submissions/complete?cc=C1GZP9YZ,C12QTGB5 - https://app.prolific.com/submissions/complete?cc=C12QTGB5,
,19:15–20:30,13:15–14:30,Study SlackerD1,171,57,bargaining_tdl_slacker_d1,CS0SK0FT - https://app.prolific.com/submissions/complete?cc=CS0SK0FT,CBPGAP2T - https://app.prolific.com/submissions/complete?cc=CBPGAP2T,CVCH885O - https://app.prolific.com/submissions/complete?cc=CVCH885O,"Earn up to $12.00 | Group Decision-Making Task

Welcome! In this study, you will participate in an group decision-making task with other two participants.

Key Information:





Duration: 15 minutes.



Anonymity: Strict data confidentiality. All collected data remains entirely anonymous.

Payment:





You will earn at least $2.20 and can earn as much as $12.00, depending on your choices and the decisions made by your group members.



Thank you for your time and contribution to academic research"
"DAY 2
(Tuesday)",15:30–17:30,09:30–11:30,Study PublicD2,174,58,bargaining_tdl_public_d2,C187VMJZ - https://app.prolific.com/submissions/complete?cc=C187VMJZ,C178PR0K - https://app.prolific.com/submissions/complete?cc=C178PR0K,COYX7OAP - https://app.prolific.com/submissions/complete?cc=COYX7OAP,
,17:45–19:00,11:45–13:00,Study SlackerD2,174,58,bargaining_tdl_slacker_d2,C1LRIGON - https://app.prolific.com/submissions/complete?cc=C1LRIGON,C1A5YEEH - https://app.prolific.com/submissions/complete?cc=C1A5YEEH,C16OVXXD - https://app.prolific.com/submissions/complete?cc=C16OVXXD,
,19:15–20:30,13:15–14:30,Study BaselineD2,171,57,bargaining_tdl_baseline_d2,C1OO523E - https://app.prolific.com/submissions/complete?cc=C1OO523E,CJA3HCA8 - https://app.prolific.com/submissions/complete?cc=CJA3HCA8,C1B3RJS2 - https://app.prolific.com/submissions/complete?cc=C1B3RJS2,
"DAY 3
(Wednesday)",15:30–17:30,09:30–11:30,Study SlackerD3,174,58,bargaining_tdl_slacker_d3,CTS7WY83 - https://app.prolific.com/submissions/complete?cc=CTS7WY83,C18TF8C6 - https://app.prolific.com/submissions/complete?cc=C18TF8C6,CQJD948X - https://app.prolific.com/submissions/complete?cc=CQJD948X,
,17:45–19:00,11:45–13:00,Study BaselineD3,174,58,bargaining_tdl_baseline_d3,C6CWP51H - https://app.prolific.com/submissions/complete?cc=C6CWP51H,CRGEJSNX - https://app.prolific.com/submissions/complete?cc=CRGEJSNX,CW12WXEV - https://app.prolific.com/submissions/complete?cc=CW12WXEV,
,19:15–20:30,13:15–14:30,Study PublicD3,171,57,bargaining_tdl_public_d3,CMV2DGMZ - https://app.prolific.com/submissions/complete?cc=CMV2DGMZ,CG5BL66Z - https://app.prolific.com/submissions/complete?cc=CG5BL66Z,C18NC41T - https://app.prolific.com/submissions/complete?cc=C18NC41T,
