playerid;participant_code;groupid;inactive;left_player;right_player;part1_signal_left;part1_signal_right;part1_finaldecision;Part3_finaldecision;survey_id_in_group;survey_role;survey_payoff;survey_gender;survey_age;survey_field_of_study;survey_university_years;survey_job_status;survey_willingness_future;survey_willingness_risk;survey_reciprocity_positive;survey_reciprocity_negative;survey_willingness_donate;survey_trust_general;survey_beauty_contest_guess;survey_time_on_page;survey_time_survey_intro;survey_time_survey_questions;survey_time_survey_scale_intro;survey_time_survey_page4;survey_time_survey_page5;survey_time_survey_page6;survey_time_survey_page7;survey_time_survey_page8;survey_time_survey_page9;survey_time_survey_page10;survey_time_final_results
67;2s9nar7d;3;;br25c3xd;cw3blg3k;split_both;split_both;Both;share_both;67;;0.0;1;53;tecnico scientifico;2;employee;8;8;10;0;10;10;1.7;51.06;9.83;32.22;52.53;17.34;23.6;32.22;13.85;15.96;11.23;51.06;0.0
68;zdcuonrg;1;1;;;;;;;68;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;60stog4t;1;1;;;;;;;69;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;utp2m614;1;1;;;;;;;70;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;6nf0d2r7;1;1;;;;;;;71;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;dnnxb7f1;1;;;;;;;;72;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;y229xlov;7;;rhilexuj;hetqaozn;split_you;split_you;Right;share_both;73;;0.0;1;50;diploma;1;employee;7;7;8;1;9;8;2.0;81.75;14.67;46.23;8.13;31.37;8.51;15.91;37.19;21.58;23.13;81.75;0.0
74;vrt0fjm1;6;;c2ycwfix;0j12tjt3;split_both;split_both;Right;;74;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75;ovyw28qv;11;;5mhp2h2j;nf397ou8;split_other;split_you;Right;share_one;75;;0.0;1;39;LT;3;employer;2;1;2;2;2;2;2.0;8.78;2.0;30.36;2.83;60.48;8.07;5.35;3.09;3.84;3.06;8.78;0.0
76;qjrg1l5b;9;;oyvufias;a5pham2n;split_both;split_both;Both;share_both;76;;0.0;2;50;Economy;2;employee;5;5;8;5;5;10;2.0;106.85;6.92;156.71;4.88;12.18;4.23;10.63;12.05;6.26;7.63;106.85;0.0
77;04u70zp4;10;;zq85fk59;1635k3od;split_you;split_both;Right;share_one;77;;0.0;0;50;degree;5;employee;8;5;8;8;8;7;1.1;97.1;1.43;32.18;6.51;20.89;7.29;6.97;43.18;6.25;10.79;97.1;0.0
78;zptzfp8u;1;1;;;;;;;78;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79;y3atyre1;4;;gn5d8gey;brln0ee7;split_both;split_both;Both;share_both;79;;0.0;1;36;Matematica;8;employee;10;6;10;5;10;8;2.0;63.41;2.49;34.1;1.91;29.2;6.17;5.62;10.39;14.51;6.73;63.41;0.0
80;67esefc2;1;1;;;;;;;80;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81;bueb4u4i;14;;7jq6qxh3;bab8wqjo;split_both;split_both;Both;share_both;81;;0.0;1;60;pharmacy;9;employee;8;5;9;6;7;8;2.0;37.29;7.99;55.59;13.48;24.59;8.34;10.68;10.12;12.88;18.41;37.29;0.0
82;qjg0cuk3;1;;;;;;;;82;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83;a5pham2n;9;;qjrg1l5b;oyvufias;split_you;split_other;Left;;83;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;fkc0uwfh;1;1;;;;;;;84;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85;r6nruljo;1;;;;;;;;85;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86;umqy120s;1;;;;;;;;86;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
87;r4smz6e6;16;;vlhkphbu;fujp3a0k;split_both;split_both;Both;share_one;87;;0.0;1;61;laurea;5;employee;8;6;8;6;8;6;2.0;37.52;21.66;56.27;9.11;13.63;5.17;6.77;17.61;53.46;9.05;37.52;0.0
88;fujp3a0k;16;;r4smz6e6;vlhkphbu;split_both;split_both;Both;share_both;88;;0.0;1;61;lettere;4;employee;7;5;10;6;8;8;1.2;48.59;8.5;19.41;2.86;10.72;9.89;7.01;6.68;6.64;5.16;48.59;0.0
89;wispbiwv;1;;;;;;;;89;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
90;vdk46c4w;1;;;;;;;;90;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91;i8tliuh9;1;;;;;;;;91;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
92;wkfdxsel;1;;;;;;;;92;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
93;g8c33lgy;1;;;;;;;;93;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94;5eeytytj;1;;;;;;;;94;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95;i9i8n3ij;1;;;;;;;;95;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96;kp033yd5;1;;;;;;;;96;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97;avtn78cn;1;;;;;;;;97;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;izwzfez3;1;;;;;;;;98;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99;owhqwdf3;1;;;;;;;;99;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;rvo6hdxf;1;;;;;;;;100;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101;qzo8zj4l;1;;;;;;;;101;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
102;d4l8670p;1;;;;;;;;102;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
103;ap4wj4dm;1;;;;;;;;103;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;v53v7ol3;1;;;;;;;;104;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
